	ID	KO	N_control	N_disease	AveExpr_control	AveExpr_disease	FC	P.Value
K01682	K01682	K01682: aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	72	14	6.24E-06	3.63E-05	5.828610282	0.546886682
K01223	K01223	K01223: 6-phospho-beta-glucosidase [EC:3.2.1.86]	72	14	0.000600185	0.000590542	0.983933058	0.550785794
K04516	K04516	K04516: chorismate mutase [EC:5.4.99.5]	72	14	0.000256362	0.000211476	0.824913321	0.550785794
K04480	K04480	K04480: methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase [EC:2.1.1.90]	72	14	1.06E-05	5.58E-07	0.052717965	0.550785794
K00349	K00349	K00349: Na+-transporting NADH:ubiquinone oxidoreductase subunit D	72	14	0.000162424	0.000207608	1.278184088	0.550785794
K14348	K14348	K14348: NO_NAME	72	14	4.57E-05	7.61E-05	1.666324166	0.550785794
K02566	K02566	K02566: NagD protein	72	14	0.000129516	0.000157298	1.214506428	0.550785794
K08316	K08316	K08316: ribosomal RNA small subunit methyltransferase D	72	14	0.000233973	0.000216645	0.925942652	0.550785794
K07386	K07386	K07386: putative endopeptidase	72	14	7.35E-05	8.10E-05	1.100788807	0.550785794
K11051	K11051	K11051: multidrug/hemolysin transport system permease protein	72	14	6.72E-05	6.75E-05	1.004796521	0.550785794
K12986	K12986	K12986: NO_NAME	72	14	6.12E-06	2.49E-05	4.060055717	0.550785794
K09475	K09475	K09475: outer membrane pore protein C	72	14	5.64E-05	8.39E-05	1.486672782	0.550785794
K11208	K11208	K11208: GST-like protein	72	14	3.18E-05	7.07E-05	2.224858122	0.550785794
K07486	K07486	K07486: transposase	72	14	1.91E-06	0.000155741	81.51612183	0.550785794
K00138	K00138	K00138: aldehyde dehydrogenase [EC:1.2.1.-]	72	14	4.36E-05	6.66E-05	1.528639083	0.550785794
K06889	K06889	K06889: NO_NAME	72	14	0.001371315	0.001541953	1.124434118	0.550785794
K00899	K00899	K00899: 5-methylthioribose kinase [EC:2.7.1.100]	72	14	4.04E-06	2.92E-05	7.230946564	0.550785794
K03719	K03719	"K03719: Lrp/AsnC family transcriptional regulator, leucine-responsive"	72	14	0.000262758	0.000341905	1.301215527	0.550785794
K13926	K13926	K13926: NO_NAME	72	14	3.38E-06	7.32E-06	2.166128423	0.550785794
K07674	K07674	"K07674: two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]"	72	14	6.21E-05	8.64E-05	1.390609025	0.550785794
K16321	K16321	K16321: NO_NAME	72	14	3.30E-05	6.52E-05	1.973933457	0.550785794
K01775	K01775	K01775: alanine racemase [EC:5.1.1.1]	72	14	0.000643084	0.000592181	0.92084676	0.550785794
K00099	K00099	K00099: 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	72	14	0.000752169	0.000818148	1.087719285	0.550785794
K13727	K13727	K13727: NO_NAME	72	14	1.55E-06	1.95E-06	1.258894588	0.550785794
K00226	K00226	K00226: dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	72	14	0.000157356	0.000230602	1.465474111	0.550785794
K07679	K07679	"K07679: two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]"	72	14	2.09E-05	2.94E-05	1.407426327	0.550785794
K06867	K06867	K06867: NO_NAME	72	14	8.09E-05	0.000133929	1.655130197	0.550785794
K12204	K12204	K12204: defect in organelle trafficking protein DotC	72	14	1.15E-05	6.70E-05	5.80163049	0.550785794
K00131	K00131	K00131: glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	72	14	1.71E-06	1.05E-06	0.615861951	0.554698534
K06286	K06286	K06286: septation ring formation regulator	72	14	1.73E-05	1.76E-05	1.016986332	0.554698534
K01608	K01608	K01608: tartronate-semialdehyde synthase [EC:4.1.1.47]	72	14	5.32E-05	8.52E-05	1.602077862	0.554698534
K16692	K16692	K16692: NO_NAME	72	14	9.91E-06	1.09E-05	1.09957573	0.554698534
K12205	K12205	K12205: defect in organelle trafficking protein DotD	72	14	3.76E-05	0.000169102	4.492113744	0.554698534
K07471	K07471	K07471: hypothetical protein	72	14	6.21E-05	9.07E-05	1.460555021	0.554698534
K02080	K02080	K02080: galactosamine-6-phosphate isomerase [EC:5.3.1.-]	72	14	7.16E-05	7.12E-05	0.994969866	0.554698534
K14548	K14548	K14548: U3 small nucleolar RNA-associated protein 4	72	14	1.45E-07	9.84E-08	0.677437134	0.558624818
K01383	K01383	K01383: barrierpepsin [EC:3.4.23.35]	72	14	1.21E-07	1.41E-07	1.160628448	0.558624818
K09712	K09712	K09712: hypothetical protein	72	14	4.43E-05	6.23E-05	1.407255271	0.558624818
K10685	K10685	K10685: ubiquitin-like 1-activating enzyme E1 B [EC:6.2.1.45]	72	14	1.66E-07	1.37E-07	0.823002163	0.558624818
K01679	K01679	"K01679: fumarate hydratase, class II [EC:4.2.1.2]"	72	14	9.74E-05	0.000104278	1.070802006	0.558624818
K07106	K07106	K07106: N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]	72	14	0.000319325	0.000297403	0.931349265	0.558624818
K10873	K10873	K10873: DNA repair and recombination protein RAD52	72	14	1.32E-07	1.10E-07	0.832501854	0.558624818
K00319	K00319	K00319: methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1]	72	14	1.04E-05	9.83E-07	0.094575391	0.558624818
K17790	K17790	K17790: NO_NAME	72	14	2.60E-07	1.50E-07	0.576222493	0.558624818
K11132	K11132	K11132: telomere elongation protein	72	14	2.07E-07	1.22E-07	0.59002712	0.558624818
K01166	K01166	K01166: ribonuclease T2	72	14	5.49E-06	2.22E-06	0.404369527	0.558624818
K19307	K19307	K19307: NO_NAME	72	14	1.32E-07	1.07E-07	0.812430804	0.558624818
K18581	K18581	K18581: NO_NAME	72	14	0.000145178	0.000203368	1.400820601	0.558624818
K11407	K11407	K11407: histone deacetylase 6 [EC:3.5.1.98]	72	14	1.78E-07	4.45E-08	0.250545479	0.558624818
K15109	K15109	K15109: NO_NAME	72	14	3.88E-07	2.61E-07	0.672095966	0.558624818
K17782	K17782	K17782: NO_NAME	72	14	1.02E-07	1.49E-07	1.464310183	0.558624818
K17069	K17069	K17069: O-acetylhomoserine/O-acetylserine sulfhydrylase [EC:2.5.1.49 2.5.1.47]	72	14	5.90E-08	8.71E-08	1.477742813	0.558624818
K03583	K03583	K03583: exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]	72	14	1.95E-06	4.43E-06	2.267536822	0.558624818
K02002	K02002	K02002: glycine betaine/proline transport system substrate-binding protein	72	14	0.000177579	0.000206343	1.161982835	0.558624818
K05542	K05542	K05542: tRNA-dihydrouridine synthase 1	72	14	1.24E-07	8.26E-08	0.6652372	0.558624818
K07002	K07002	K07002: NO_NAME	72	14	1.52E-06	4.40E-06	2.901495974	0.558624818
K11718	K11718	K11718: UDP-glucose:glycoprotein glucosyltransferase [EC:2.4.1.-]	72	14	1.19E-07	7.01E-08	0.588549003	0.558624818
K11537	K11537	"K11537: MFS transporter, NHS family, xanthosine permease"	72	14	0.000184547	0.000227041	1.230260298	0.558624818
K00858	K00858	K00858: NAD+ kinase [EC:2.7.1.23]	72	14	0.00098732	0.000956034	0.968312019	0.558624818
K09202	K09202	K09202: regulatory protein SWI5	72	14	1.09E-07	8.51E-08	0.77882117	0.558624818
K11497	K11497	K11497: centromere protein C	72	14	1.32E-07	7.13E-08	0.540913009	0.558624818
K03095	K03095	K03095: SprT-like protein	72	14	2.14E-05	1.95E-05	0.912476741	0.558624818
K19323	K19323	K19323: NO_NAME	72	14	1.28E-07	8.11E-08	0.631518429	0.558624818
K00877	K00877	K00877: hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	72	14	3.37E-07	1.52E-07	0.452362548	0.558624818
K06185	K06185	"K06185: ATP-binding cassette, sub-family F, member 2"	72	14	1.52E-07	6.65E-08	0.438117152	0.558624818
K12814	K12814	K12814: pre-mRNA-splicing factor ATP-dependent RNA helicase-like protein PRP2 [EC:3.6.4.13]	72	14	1.29E-07	9.12E-08	0.705606482	0.558624818
K03073	K03073	K03073: preprotein translocase subunit SecE	72	14	0.001192199	0.001095951	0.919268767	0.558624818
K02530	K02530	"K02530: DeoR family transcriptional regulator, lactose phosphotransferase"	72	14	1.55E-05	1.72E-05	1.111584615	0.558624818
K12345	K12345	K12345: 3-oxo-5-alpha-steroid 4-dehydrogenase 3 [EC:1.3.1.22 1.3.1.94]	72	14	2.58E-07	2.18E-07	0.844835298	0.558624818
K02847	K02847	K02847: O-antigen ligase [EC:2.4.1.-]	72	14	2.70E-05	4.70E-05	1.738538587	0.558624818
K13103	K13103	K13103: NO_NAME	72	14	1.10E-07	7.83E-08	0.711582766	0.558624818
K11775	K11775	K11775: SWI/SNF complex component SWP73	72	14	8.88E-08	1.50E-07	1.694346929	0.558624818
K15563	K15563	K15563: NO_NAME	72	14	1.17E-07	1.20E-07	1.028578148	0.558624818
K11806	K11806	K11806: WD repeat and SOF domain-containing protein 1	72	14	1.46E-07	5.71E-08	0.390381907	0.558624818
K10548	K10548	K10548: putative multiple sugar transport system ATP-binding protein [EC:3.6.3.17]	72	14	1.51E-05	4.82E-05	3.190999507	0.558624818
K07441	K07441	"K07441: beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]"	72	14	1.64E-07	1.64E-07	0.998023955	0.558624818
K03222	K03222	K03222: type III secretion protein J	72	14	9.54E-07	3.64E-06	3.818169674	0.558624818
K03224	K03224	K03224: ATP synthase in type III secretion protein N [EC:3.6.3.14]	72	14	9.30E-07	3.38E-06	3.63202948	0.558624818
K04058	K04058	K04058: type III secretion protein W	72	14	1.11E-06	3.83E-06	3.433852024	0.558624818
K12762	K12762	K12762: G protein-coupled receptor GPR1	72	14	1.79E-07	6.45E-08	0.359263324	0.558624818
K10436	K10436	"K10436: microtubule-associated protein, RP/EB family"	72	14	1.77E-07	1.10E-07	0.62128366	0.558624818
K02830	K02830	K02830: cell cycle checkpoint protein [EC:3.1.11.2]	72	14	9.95E-08	1.01E-07	1.011822598	0.558624818
K03219	K03219	K03219: type III secretion protein C	72	14	1.19E-06	4.05E-06	3.402887131	0.558624818
K11362	K11362	K11362: transcriptional coactivator HFI1/ADA1	72	14	6.74E-08	7.89E-08	1.170788446	0.558624818
K08987	K08987	K08987: putative membrane protein	72	14	2.01E-05	2.22E-05	1.100529225	0.558624818
K02216	K02216	K02216: serine/threonine-protein kinase Chk1 [EC:2.7.11.1]	72	14	1.00E-07	1.17E-07	1.174403835	0.558624818
K02346	K02346	K02346: DNA polymerase IV	72	14	0.000886428	0.000785028	0.88560847	0.558624818
K14859	K14859	K14859: NO_NAME	72	14	2.03E-07	1.79E-07	0.880798532	0.558624818
K03230	K03230	K03230: type III secretion protein V	72	14	1.10E-06	2.96E-06	2.697117186	0.558624818
K18148	K18148	K18148: release factor H-coupled RctB family protein	72	14	1.27E-06	4.20E-06	3.308852061	0.558624818
K10643	K10643	K10643: CCR4-NOT transcription complex subunit 4 [EC:2.3.2.27]	72	14	1.72E-07	1.05E-07	0.609286943	0.558624818
K15084	K15084	K15084: NO_NAME	72	14	1.88E-07	1.35E-07	0.718518909	0.558624818
K01930	K01930	K01930: folylpolyglutamate synthase [EC:6.3.2.17]	72	14	3.40E-07	1.55E-07	0.455425058	0.558624818
K11272	K11272	K11272: mediator of replication checkpoint protein 1	72	14	6.01E-08	6.83E-08	1.137007712	0.558624818
K07394	K07394	K07394: SM-20-related protein	72	14	1.17E-06	4.53E-07	0.387450798	0.558624818
K05813	K05813	K05813: sn-glycerol 3-phosphate transport system substrate-binding protein	72	14	8.10E-05	0.000119527	1.476246428	0.562564555
K03641	K03641	K03641: TolB protein	72	14	7.74E-05	0.000101189	1.306976229	0.562564555
K03855	K03855	K03855: ferredoxin like protein	72	14	5.58E-05	8.95E-05	1.60331941	0.562564555
K00540	K00540	K00540: NO_NAME	72	14	0.00028284	0.000401192	1.41844012	0.562564555
K01252	K01252	K01252: bifunctional isochorismate lyase / aryl carrier protein [EC:3.3.2.1 6.3.2.14]	72	14	5.37E-05	8.13E-05	1.514317956	0.562564555
K19030	K19030	"K19030: 6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 4 [EC:2.7.1.105 3.1.3.46]"	72	14	1.81E-07	7.49E-08	0.414390645	0.566517658
K12393	K12393	K12393: AP-1 complex subunit mu	72	14	6.33E-08	6.18E-08	0.976142172	0.566517658
K06663	K06663	K06663: DNA damage checkpoint protein	72	14	1.03E-07	3.34E-08	0.324023945	0.566517658
K15110	K15110	K15110: NO_NAME	72	14	3.20E-07	1.34E-07	0.418344767	0.566517658
K06666	K06666	K06666: glucose repression regulatory protein TUP1	72	14	1.68E-07	7.30E-08	0.433663952	0.566517658
K02617	K02617	K02617: phenylacetic acid degradation protein	72	14	2.23E-05	4.13E-05	1.855767314	0.566517658
K06667	K06667	K06667: serine/threonine-protein kinase CAK1 [EC:2.7.11.22]	72	14	1.65E-07	1.60E-07	0.968798732	0.566517658
K09051	K09051	K09051: ATF/CREB family transcription factor	72	14	8.26E-08	6.05E-08	0.732418516	0.566517658
K19265	K19265	K19265: NO_NAME	72	14	0.000389971	0.000364213	0.933949153	0.566517658
K00107	K00107	"K00107: D-arabinono-1,4-lactone oxidase"	72	14	1.26E-07	4.83E-08	0.382654986	0.566517658
K06660	K06660	K06660: cell cycle serine/threonine-protein kinase CDC5/MSD2 [EC:2.7.11.21]	72	14	2.20E-07	7.37E-08	0.334913171	0.566517658
K11271	K11271	K11271: sister chromatid cohesion protein DCC1	72	14	3.44E-07	6.78E-08	0.196862394	0.566517658
K07874	K07874	K07874: Ras-related protein Rab-1A	72	14	5.22E-07	2.61E-07	0.500059078	0.566517658
K14801	K14801	K14801: NO_NAME	72	14	1.71E-07	1.15E-07	0.674884987	0.566517658
K06676	K06676	K06676: condensin complex subunit 2	72	14	1.14E-07	2.38E-08	0.208177661	0.566517658
K14793	K14793	K14793: NO_NAME	72	14	1.43E-07	5.07E-08	0.354176985	0.566517658
K12543	K12543	K12543: outer membrane protein LapE	72	14	7.23E-07	0	0	0.566517658
K11582	K11582	K11582: shugoshin	72	14	1.06E-07	4.21E-08	0.396268341	0.566517658
K12542	K12542	K12542: membrane fusion protein LapC	72	14	2.49E-07	0	0	0.566517658
K06285	K06285	K06285: transcription attenuation protein (tryptophan RNA-binding attenuator	72	14	4.00E-07	0	0	0.566517658
K12778	K12778	K12778: meiosis-specific protein HOP1	72	14	6.48E-08	1.01E-07	1.558450582	0.566517658
K09017	K09017	K09017: TetR/AcrR family transcriptional regulator	72	14	4.35E-05	7.15E-05	1.643974632	0.566517658
K16075	K16075	K16075: NO_NAME	72	14	4.09E-07	1.96E-07	0.479289538	0.566517658
K08331	K08331	K08331: autophagy-related protein 13	72	14	1.88E-07	4.09E-08	0.217281438	0.566517658
K14841	K14841	K14841: NO_NAME	72	14	8.32E-08	5.94E-08	0.713778307	0.566517658
K09313	K09313	K09313: homeobox protein cut-like	72	14	8.20E-08	8.35E-08	1.018017341	0.566517658
K14826	K14826	K14826: NO_NAME	72	14	1.83E-07	1.01E-07	0.55242615	0.566517658
K08783	K08783	K08783: extracellular matrix protein 14	72	14	7.33E-08	8.22E-08	1.121342964	0.566517658
K11117	K11117	K11117: protein STN1	72	14	9.85E-08	5.32E-08	0.53974353	0.566517658
K11122	K11122	K11122: regulatory protein SIR3	72	14	1.89E-07	5.62E-08	0.297170041	0.566517658
K15119	K15119	K15119: NO_NAME	72	14	1.44E-07	5.30E-08	0.368468551	0.566517658
K01228	K01228	K01228: mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]	72	14	1.54E-07	5.64E-08	0.365632417	0.566517658
K09102	K09102	K09102: heteromeric Ino2p/Ino4p transcription factor	72	14	3.80E-07	1.46E-07	0.384783511	0.566517658
K12488	K12488	"K12488: Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein"	72	14	2.10E-07	1.62E-07	0.771780933	0.566517658
K07016	K07016	K07016: NO_NAME	72	14	1.57E-05	1.43E-05	0.911100315	0.566517658
K12812	K12812	K12812: ATP-dependent RNA helicase UAP56/SUB2 [EC:3.6.4.13]	72	14	6.97E-08	5.25E-08	0.752713854	0.566517658
K06641	K06641	K06641: serine/threonine-protein kinase Chk2 [EC:2.7.11.1]	72	14	2.83E-07	5.39E-08	0.190465629	0.566517658
K11551	K11551	K11551: central kinetochore subunit Mis15/CHL4	72	14	1.27E-07	6.44E-08	0.50551117	0.566517658
K15072	K15072	K15072: NO_NAME	72	14	9.75E-08	8.19E-08	0.839933048	0.566517658
K03306	K03306	"K03306: inorganic phosphate transporter, PiT family"	72	14	6.01E-05	0.000104313	1.735968182	0.566517658
K08141	K08141	"K08141: MFS transporter, SP family, general alpha glucoside:H+ symporter"	72	14	2.42E-07	9.30E-08	0.38379519	0.566517658
K03248	K03248	K03248: translation initiation factor 3 subunit G	72	14	4.79E-08	8.82E-08	1.841395057	0.566517658
K12578	K12578	K12578: DNA damage checkpoint protein LCD1	72	14	1.14E-07	5.40E-08	0.476093646	0.566517658
K09243	K09243	K09243: transcriptional regulatory protein UME6	72	14	1.41E-07	8.05E-08	0.571161363	0.566517658
K02746	K02746	"K02746: PTS system, N-acetylgalactosamine-specific IIC component"	72	14	2.63E-05	1.86E-05	0.706741851	0.566517658
K03468	K03468	"K03468: putative efflux transporter, PET family"	72	14	5.01E-07	0	0	0.566517658
K16076	K16076	K16076: NO_NAME	72	14	1.36E-06	0	0	0.566517658
K17408	K17408	K17408: NO_NAME	72	14	1.21E-07	1.03E-07	0.85250038	0.566517658
K15175	K15175	K15175: NO_NAME	72	14	2.73E-07	8.51E-08	0.311113321	0.566517658
K00075	K00075	K00075: UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	72	14	0.000645866	0.000601176	0.930805795	0.566517658
K02986	K02986	K02986: small subunit ribosomal protein S4	72	14	0.001574324	0.001457238	0.925628291	0.566517658
K14960	K14960	K14960: NO_NAME	72	14	1.29E-07	1.25E-07	0.966036225	0.566517658
K05581	K05581	K05581: NAD(P)H-quinone oxidoreductase subunit J [EC:1.6.5.3]	72	14	3.53E-07	0	0	0.566517658
K00348	K00348	K00348: Na+-transporting NADH:ubiquinone oxidoreductase subunit C	72	14	0.000301531	0.000441793	1.465164417	0.566517658
K15564	K15564	K15564: NO_NAME	72	14	1.31E-07	9.75E-08	0.744673913	0.566517658
K15440	K15440	K15440: NO_NAME	72	14	9.53E-08	1.38E-07	1.445308027	0.566517658
K03670	K03670	K03670: periplasmic glucans biosynthesis protein	72	14	9.49E-05	0.000124681	1.313792388	0.566517658
K13342	K13342	K13342: peroxin-5	72	14	2.34E-07	7.78E-08	0.332199547	0.566517658
K15453	K15453	K15453: NO_NAME	72	14	1.45E-07	6.40E-08	0.440759113	0.566517658
K00450	K00450	"K00450: gentisate 1,2-dioxygenase [EC:1.13.11.4]"	72	14	5.56E-07	0	0	0.566517658
K14050	K14050	K14050: NO_NAME	72	14	1.85E-07	9.57E-08	0.516759785	0.566517658
K00993	K00993	K00993: ethanolaminephosphotransferase [EC:2.7.8.1]	72	14	1.46E-07	6.53E-08	0.448022149	0.566517658
K03022	K03022	K03022: DNA-directed RNA polymerase III subunit RPC8	72	14	3.44E-07	2.26E-07	0.656077087	0.566517658
K00721	K00721	K00721: dolichol-phosphate mannosyltransferase [EC:2.4.1.83]	72	14	0.000329766	0.000323524	0.981072094	0.566517658
K00924	K00924	K00924: NO_NAME	72	14	1.45E-07	5.15E-08	0.355584473	0.566517658
K13634	K13634	K13634: NO_NAME	72	14	6.74E-06	9.14E-06	1.355455808	0.566517658
K09949	K09949	K09949: hypothetical protein	72	14	5.62E-05	7.82E-05	1.390562826	0.566517658
K04711	K04711	K04711: dihydroceramidase [EC:3.5.1.-]	72	14	1.57E-07	1.10E-07	0.704101141	0.566517658
K04718	K04718	K04718: sphingosine kinase [EC:2.7.1.91]	72	14	2.58E-07	8.00E-08	0.309916058	0.566517658
K01102	K01102	K01102: pyruvate dehydrogenase phosphatase	72	14	1.80E-07	5.22E-08	0.290886244	0.566517658
K02944	K02944	K02944: large subunit ribosomal protein LX	72	14	6.15E-06	0	0	0.566517658
K00925	K00925	K00925: acetate kinase [EC:2.7.2.1]	72	14	0.000972449	0.00105251	1.082329149	0.566517658
K03724	K03724	K03724: ATP-dependent helicase Lhr and Lhr-like helicase	72	14	4.47E-06	5.42E-06	1.211467571	0.566517658
K09927	K09927	K09927: hypothetical protein	72	14	1.02E-05	1.56E-05	1.525945489	0.566517658
K03058	K03058	K03058: DNA-directed RNA polymerase subunit N [EC:2.7.7.6]	72	14	1.13E-05	0	0	0.566517658
K10684	K10684	K10684: ubiquitin-like 1-activating enzyme E1 A [EC:6.2.1.45]	72	14	6.62E-08	7.54E-08	1.138568514	0.566517658
K15540	K15540	K15540: NO_NAME	72	14	3.61E-05	6.74E-05	1.86600132	0.566517658
K02180	K02180	K02180: cell cycle arrest protein BUB3	72	14	7.59E-08	1.30E-07	1.718191509	0.566517658
K05012	K05012	K05012: chloride channel 3	72	14	1.23E-07	3.11E-08	0.252639134	0.566517658
K03033	K03033	K03033: 26S proteasome regulatory subunit N3	72	14	9.09E-08	1.58E-07	1.740725054	0.566517658
K02526	K02526	K02526: 2-keto-3-deoxygluconate permease	72	14	3.24E-05	4.91E-05	1.517848951	0.566517658
K10777	K10777	K10777: DNA ligase 4 [EC:6.5.1.1]	72	14	1.83E-07	1.05E-07	0.57155657	0.566517658
K11960	K11960	K11960: urea transport system permease protein	72	14	6.18E-07	0	0	0.566517658
K02178	K02178	K02178: checkpoint serine/threonine-protein kinase [EC:2.7.11.1]	72	14	1.81E-07	4.54E-08	0.250385287	0.566517658
K18723	K18723	K18723: NO_NAME	72	14	1.18E-07	5.52E-08	0.465961824	0.566517658
K01569	K01569	K01569: oxalate decarboxylase [EC:4.1.1.2]	72	14	4.00E-08	5.43E-08	1.358217645	0.566517658
K02997	K02997	K02997: small subunit ribosomal protein S9e	72	14	2.81E-07	1.94E-07	0.691092249	0.566517658
K13933	K13933	K13933: NO_NAME	72	14	1.82E-06	1.20E-05	6.576211503	0.566517658
K10365	K10365	"K10365: capping protein (actin filament) muscle Z-line, beta"	72	14	1.66E-07	1.55E-07	0.93489698	0.566517658
K10842	K10842	K10842: CDK-activating kinase assembly factor MAT1	72	14	1.62E-07	1.19E-07	0.731170185	0.566517658
K14408	K14408	K14408: cleavage stimulation factor subunit 3	72	14	2.46E-07	6.01E-08	0.244610047	0.566517658
K17887	K17887	K17887: NO_NAME	72	14	1.27E-07	3.92E-08	0.309892383	0.566517658
K13217	K13217	K13217: NO_NAME	72	14	1.60E-07	4.01E-08	0.249884458	0.566517658
K11849	K11849	K11849: ubiquitin carboxyl-terminal hydrolase 25/28	72	14	1.50E-07	5.31E-08	0.354115803	0.566517658
